CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.9800503667985264
C0001,C0064,0.9701093925415559
C0001,C0174,0.9256248449026035
C0002,C0062,0.9819755775576138
C0002,C0159,0.9423902403440381
C0002,C0025,0.8825588222432517
C0003,C0199,0.9732374559048412
C0003,C0197,0.9563843154485089
C0003,C0069,0.9512514121375168
C0004,C0075,0.951575323370343
C0004,C0175,0.9467326348531002
C0004,C0041,0.9411128353663445
C0005,C0031,0.9941614038396374
C0005,C0140,0.9863804255988478
C0005,C0199,0.9212354195054138
C0006,C0079,0.9882411076747655
C0006,C0139,0.9685049618276816
C0006,C0196,0.9242482764382657
C0007,C0005,0.8815739455016369
C0007,C0059,0.8576573059546316
C0007,C0031,0.8554078512506997
C0008,C0017,0.9955711396134204
C0008,C0113,0.9924905149069552
C0008,C0162,0.9857382273954626
C0009,C0198,0.9338785957806546
C0009,C0056,0.9150785152159162
C0009,C0195,0.8938095011557745
C0010,C0142,0.9759750826074762
C0010,C0176,0.9742664324405816
C0010,C0077,0.9196658750948149
C0011,C0107,0.9915375571127143
C0011,C0126,0.9584136982137487
C0011,C0087,0.9316900543197082
C0012,C0123,0.9843385943201977
C0012,C0137,0.9656290101625389
C0012,C0052,0.9570284840194541
C0013,C0183,0.9877130656693945
C0013,C0016,0.9875564885406638
C0013,C0074,0.9863233729541017
C0015,C0131,0.9532307113282753
C0015,C0137,0.937374805170166
C0015,C0123,0.9026775253748197
C0016,C0013,0.9875564885406638
C0016,C0183,0.9838180348762404
C0016,C0074,0.9721995421705543
C0017,C0113,0.9989846146973059
C0017,C0008,0.9955711396134204
C0017,C0162,0.9880088551042361
C0019,C0112,0.9312217078197552
C0019,C0191,0.8827012354982162
C0019,C0070,0.8720330550698606
C0021,C0051,0.9962722962039707
C0021,C0122,0.9949749140093754
C0021,C0200,0.9902534993550557
C0022,C0200,0.99304370937416
C0022,C0067,0.9890316571294614
C0022,C0122,0.9876403825013024
C0023,C0168,0.9910841578510835
C0023,C0155,0.870307633782648
C0023,C0087,0.8585634848741577
C0024,C0067,0.9903269316270019
C0024,C0181,0.9718501147280327
C0024,C0179,0.9673183977392336
C0025,C0043,0.9870734470633071
C0025,C0030,0.9535169989963934
C0025,C0178,0.9279858487960368
C0026,C0069,0.9844434539954046
C0026,C0003,0.899382169191781
C0026,C0005,0.8504318497833259
C0027,C0088,0.9786218237100005
C0027,C0029,0.9545294959883441
C0027,C0194,0.944824866064353
C0028,C0166,0.8173005015215555
C0028,C0027,0.8076045475775256
C0028,C0194,0.8061978085860291
C0029,C0088,0.9859513522247332
C0029,C0094,0.965999822790137
C0029,C0027,0.9545294959883441
C0030,C0025,0.9535169989963934
C0030,C0178,0.9163929674042376
C0030,C0043,0.894443376808295
C0031,C0140,0.995156933377708
C0031,C0005,0.9941614038396374
C0031,C0199,0.9080416687721635
C0032,C0072,0.9931558899041212
C0032,C0198,0.9889858705642848
C0032,C0056,0.986247891679334
C0034,C0027,0.9021990896495409
C0034,C0169,0.8783667220743878
C0034,C0008,0.8492460653199766
C0036,C0150,0.9986164714713868
C0036,C0187,0.9940235827850077
C0036,C0124,0.9753120167591567
C0037,C0065,0.9686772693939414
C0037,C0148,0.8584942248802905
C0037,C0064,0.8393558963628128
C0038,C0136,0.9809694660798346
C0038,C0160,0.9582105788291605
C0038,C0030,0.8727633891595035
C0039,C0095,0.9956357422409657
C0039,C0172,0.9874337530782366
C0039,C0197,0.9211484554243791
C0040,C0016,0.9105354494629758
C0040,C0158,0.8962214068247119
C0040,C0013,0.8721410753124622
C0041,C0045,0.9982073785720744
C0041,C0175,0.9939743462543472
C0041,C0173,0.9814148088116001
C0042,C0115,0.8961795316053611
C0042,C0044,0.8941782600345121
C0042,C0078,0.8941782600345121
C0043,C0025,0.9870734470633071
C0043,C0071,0.9083591535376596
